Pantai,Kecamatan,Kabupaten_Kota,latitude,longitude,Luas_Air_2026_Ha,Sehat_2026_Ha,Sedang_2026_Ha,TidakSehat_2026_Ha,Pct_Sehat_2026,Pct_Sedang_2026,Pct_TidakSehat_2026,Mean_NDTI_2026,Mean_NDCI_2026,Mean_TSS_2026,Mean_CDOM_2026,Status_Kualitas_2026,Luas_Air_2017_Ha,Sehat_2017_Ha,Pct_Sehat_2017,Mean_NDTI_2017,Mean_NDCI_2017,Status_Kualitas_2017,Delta_Pct_Sehat,Tren_Kualitas,industri_terdekat,tipe_industri,jarak_industri_km,industri_terdekat_2,tipe_industri_2,jarak_industri_2_km,industri_terdekat_3,tipe_industri_3,jarak_industri_3_km,industri_relevan_terdekat,tipe_industri_relevan,jarak_industri_relevan_km,relevansi_industri,jumlah_industri_radius_10km,kepadatan_industri,total_relevansi_radius,indeks_dampak_industri,kategori_dampak_industri,kepadatan_penduduk_kecamatan,indeks_pengaruh_urban,penjelasan_kualitas
Pantai Marbella,Anyar,Serang,-6.062,105.8825,319.23,29.34,4.59,285.3,9.2,1.4,89.4,0.1547,0.0511,0.7418,0.8302,TIDAK SEHAT,325.71,119.97,36.8,0.0645,0.0547,TIDAK SEHAT,-27.6,MEMBURUK,Pelabuhan Ciwandan,Pelabuhan/Logistik,9.08,PT Banten Energy,Energi,10.4,PT Chandra Asri Petrochemical,Petrokimia,14.33,Pelabuhan Ciwandan,Pelabuhan/Logistik,9.08,0.5,1,0.0032,0.5,19.83,SEDANG,800.0,12.46,"Kualitas air di Pantai Marbella (Anyar) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.1547) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri Pelabuhan Ciwandan (Pelabuhan/Logistik) dalam radius **9.08 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Florida Indah,Cinangka,Serang,-6.1345,105.867,73.53,4.14,0.0,69.39,5.6,0.0,94.4,0.1379,0.0266,0.7613,1.0378,TIDAK SEHAT,74.34,24.84,33.4,0.0864,0.0588,TIDAK SEHAT,-27.8,MEMBURUK,Pelabuhan Ciwandan,Pelabuhan/Logistik,15.1,PT Banten Energy,Energi,15.54,PT Lotte Chemical Indonesia,Kimia,19.11,Pelabuhan Ciwandan,Pelabuhan/Logistik,15.1,0.5,0,0.0,0.0,11.29,RENDAH,450.0,12.61,Kualitas air di Pantai Florida Indah (Cinangka) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.1379) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah Pelabuhan Ciwandan (Pelabuhan/Logistik) berjarak **15.1 km** dengan kategori dampak **RENDAH**.
Pantai Jambu,Cinangka,Serang,-6.1158,105.864,304.29,14.04,1.53,288.72,4.6,0.5,94.9,0.1962,0.0439,0.6834,0.9063,TIDAK SEHAT,303.66,8.82,2.9,0.1576,0.046,TIDAK SEHAT,1.7,STABIL,Pelabuhan Ciwandan,Pelabuhan/Logistik,13.91,PT Banten Energy,Energi,14.58,PT Lotte Chemical Indonesia,Kimia,18.32,Pelabuhan Ciwandan,Pelabuhan/Logistik,13.91,0.5,0,0.0,0.0,12.48,RENDAH,450.0,12.16,"Kualitas air di Pantai Jambu (Cinangka) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.1962) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri Pelabuhan Ciwandan (Pelabuhan/Logistik) dalam radius **13.91 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Lontar,Tirtayasa,Serang,-5.96884,106.29646,156.42,24.48,0.0,131.94,15.7,0.0,84.3,0.0724,0.0174,0.8659,0.9253,TIDAK SEHAT,156.06,47.7,30.6,0.0468,0.01,TIDAK SEHAT,-14.9,MEMBURUK,Pelabuhan Perikanan Karangantu,Perikanan,15.6,PT Asahimas Chemical,Kimia,30.95,PT Krakatau Steel,Baja/Logam,31.4,PT Asahimas Chemical,Kimia,30.95,1.0,0,0.0,0.0,3.56,SANGAT RENDAH,600.0,9.09,Kualitas air di Pantai Lontar (Tirtayasa) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.0724) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah Pelabuhan Perikanan Karangantu (Perikanan) berjarak **15.6 km** dengan kategori dampak **RENDAH**.
Pantai Tanjung Pasir,Teluknaga,Tangerang,-6.015,106.685,218.34,55.26,5.58,157.5,25.3,2.6,72.1,0.0328,0.0676,0.9427,0.9419,TIDAK SEHAT,217.44,34.38,15.8,0.0886,0.0278,TIDAK SEHAT,9.5,MEMBAIK,Pelabuhan Perikanan Karangantu,Perikanan,56.98,PT Asahimas Chemical,Kimia,73.54,PT Krakatau Steel,Baja/Logam,74.12,PT Asahimas Chemical,Kimia,73.54,1.0,0,0.0,0.0,0.05,SANGAT RENDAH,2800.0,7.93,Kualitas air di Pantai Tanjung Pasir (Teluknaga) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan penurunan baku mutu air laut pesisir. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah Pelabuhan Perikanan Karangantu (Perikanan) berjarak **56.98 km** dengan kategori dampak **RENDAH**.
Pantai Tanjung Kait,Mauk,Tangerang,-6.0195,106.452,329.49,21.06,0.0,308.43,6.4,0.0,93.6,0.1286,0.0112,0.775,1.0206,TIDAK SEHAT,329.49,156.51,47.5,0.0448,0.0311,TIDAK SEHAT,-41.1,MEMBURUK,Pelabuhan Perikanan Karangantu,Perikanan,31.21,PT Asahimas Chemical,Kimia,47.78,PT Krakatau Steel,Baja/Logam,48.37,PT Asahimas Chemical,Kimia,47.78,1.0,0,0.0,0.0,0.67,SANGAT RENDAH,1500.0,7.92,Kualitas air di Pantai Tanjung Kait (Mauk) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.1286) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah Pelabuhan Perikanan Karangantu (Perikanan) berjarak **31.21 km** dengan kategori dampak **RENDAH**.
Pantai Binuangeun,Wanasalam,Lebak,-6.829,105.903,291.96,7.11,2.61,282.24,2.4,0.9,96.7,0.6496,0.5171,0.2406,1.7939,TIDAK SEHAT,308.34,5.49,1.8,0.2464,0.0201,TIDAK SEHAT,0.6,STABIL,PT Indocement Tunggal Prakarsa (Bayah),Semen,41.64,PLTU Labuan (Banten 2),Pembangkit Listrik,52.33,PT Banten Energy,Energi,87.54,PT Indocement Tunggal Prakarsa (Bayah),Semen,41.64,0.6,0,0.0,0.0,0.13,SANGAT RENDAH,400.0,0.91,Kualitas air di Pantai Binuangeun (Wanasalam) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.6496) akibat limpasan sedimen darat dan kadar klorofil-a yang tinggi (NDCI: 0.5171) yang menandakan penumpukan nutrien/blooming alga. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah PT Indocement Tunggal Prakarsa (Bayah) (Semen) berjarak **41.64 km** dengan kategori dampak **RENDAH**.
Pantai Karang Taraje,Bayah,Lebak,-6.9912,106.3312,197.82,3.15,2.43,192.24,1.6,1.2,97.2,0.4087,-0.0962,0.4337,0.9608,TIDAK SEHAT,210.51,0.0,0.0,0.1583,-0.01,TIDAK SEHAT,1.6,STABIL,PT Indocement Tunggal Prakarsa (Bayah),Semen,9.1,PLTU Labuan (Banten 2),Pembangkit Listrik,89.7,Pelabuhan Perikanan Karangantu,Perikanan,108.24,PT Indocement Tunggal Prakarsa (Bayah),Semen,9.1,0.6,1,0.0032,0.6,2.3,SANGAT RENDAH,350.0,0.24,"Kualitas air di Pantai Karang Taraje (Bayah) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.4087) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri PT Indocement Tunggal Prakarsa (Bayah) (Semen) dalam radius **9.1 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Sangiang,Anyar,Serang,-5.9535,105.8565,240.21,13.95,0.0,226.26,5.8,0.0,94.2,0.0991,0.0673,0.8217,0.9054,TIDAK SEHAT,227.88,43.47,19.1,0.0738,0.0781,TIDAK SEHAT,-13.3,MEMBURUK,PLTU Suralaya,Pembangkit Listrik,9.97,PT Indonesia Power Suralaya,Energi,10.11,Pelabuhan Ciwandan,Pelabuhan/Logistik,14.6,PLTU Suralaya,Pembangkit Listrik,9.97,0.7,1,0.0032,0.7,17.38,SEDANG,800.0,8.33,"Kualitas air di Pantai Sangiang (Anyar) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.0991) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri PLTU Suralaya (Pembangkit Listrik) dalam radius **9.97 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Pasir Putih Florida,Cinangka,Serang,-6.1265,105.8645,186.12,10.08,0.27,175.77,5.4,0.1,94.4,0.1584,0.0303,0.7327,0.9915,TIDAK SEHAT,186.75,29.07,15.6,0.1271,0.0462,TIDAK SEHAT,-10.2,MEMBURUK,Pelabuhan Ciwandan,Pelabuhan/Logistik,14.66,PT Banten Energy,Energi,15.21,PT Lotte Chemical Indonesia,Kimia,18.86,Pelabuhan Ciwandan,Pelabuhan/Logistik,14.66,0.5,0,0.0,0.0,11.69,RENDAH,450.0,12.36,"Kualitas air di Pantai Pasir Putih Florida (Cinangka) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.1584) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri Pelabuhan Ciwandan (Pelabuhan/Logistik) dalam radius **14.66 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Karang Songsong,Cihara,Lebak,-6.88395,106.11112,163.17,4.59,8.64,149.94,2.8,5.3,91.9,0.3352,-0.1454,0.5305,1.1925,TIDAK SEHAT,163.8,31.23,19.1,0.0663,0.0425,TIDAK SEHAT,-16.3,MEMBURUK,PT Indocement Tunggal Prakarsa (Bayah),Semen,18.0,PLTU Labuan (Banten 2),Pembangkit Listrik,66.07,PT Banten Energy,Energi,94.49,PT Indocement Tunggal Prakarsa (Bayah),Semen,18.0,0.6,0,0.0,0.0,0.96,SANGAT RENDAH,180.0,0.61,Kualitas air di Pantai Karang Songsong (Cihara) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.3352) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah PT Indocement Tunggal Prakarsa (Bayah) (Semen) berjarak **18.0 km** dengan kategori dampak **RENDAH**.
Pantai Pulau Cangkir,Kronjo,Tangerang,-6.00889,106.42,328.95,93.78,1.17,234.0,28.5,0.4,71.1,0.0991,0.0371,0.8255,0.9621,TIDAK SEHAT,329.67,56.52,17.1,0.0717,0.0437,TIDAK SEHAT,11.4,STABIL,Pelabuhan Perikanan Karangantu,Perikanan,27.75,PT Asahimas Chemical,Kimia,44.23,PT Krakatau Steel,Baja/Logam,44.81,PT Asahimas Chemical,Kimia,44.23,1.0,0,0.0,0.0,0.95,SANGAT RENDAH,1100.0,7.7,Kualitas air di Pantai Pulau Cangkir (Kronjo) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.0991) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah Pelabuhan Perikanan Karangantu (Perikanan) berjarak **27.75 km** dengan kategori dampak **RENDAH**.
Pantai Pasir Putih Cihara,Cihara,Lebak,-6.84643,106.06923,184.86,3.87,2.43,178.56,2.1,1.3,96.6,0.3514,-0.0791,0.4949,1.0795,TIDAK SEHAT,183.87,4.23,2.3,0.1249,0.0218,TIDAK SEHAT,-0.2,STABIL,PT Indocement Tunggal Prakarsa (Bayah),Semen,24.0,PLTU Labuan (Banten 2),Pembangkit Listrik,60.2,PT Banten Energy,Energi,89.72,PT Indocement Tunggal Prakarsa (Bayah),Semen,24.0,0.6,0,0.0,0.0,0.54,SANGAT RENDAH,180.0,0.8,Kualitas air di Pantai Pasir Putih Cihara (Cihara) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.3514) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Industri terdekat adalah PT Indocement Tunggal Prakarsa (Bayah) (Semen) berjarak **24.0 km** dengan kategori dampak **RENDAH**.
Pantai Tanjung Layar,Bayah,Lebak,-6.99431,106.30716,254.07,4.41,3.33,246.33,1.7,1.3,97.0,0.3455,-0.0716,0.4994,0.9626,TIDAK SEHAT,251.28,3.51,1.4,0.1794,-0.014,TIDAK SEHAT,0.3,STABIL,PT Indocement Tunggal Prakarsa (Bayah),Semen,7.17,PLTU Labuan (Banten 2),Pembangkit Listrik,88.31,Pelabuhan Perikanan Karangantu,Perikanan,108.18,PT Indocement Tunggal Prakarsa (Bayah),Semen,7.17,0.6,1,0.0032,0.6,2.79,SANGAT RENDAH,350.0,0.24,"Kualitas air di Pantai Tanjung Layar (Bayah) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.3455) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Terdapat fasilitas industri PT Indocement Tunggal Prakarsa (Bayah) (Semen) dalam radius **7.17 km** dengan kategori dampak **SEDANG**, yang berpotensi turut memengaruhi kondisi kualitas perairan."
Pantai Caringin,Labuan,Pandeglang,-6.35329,105.82301,160.74,0.0,0.0,160.74,0.0,0.0,100.0,0.3406,0.005,0.497,1.0247,TIDAK SEHAT,159.57,13.23,8.3,0.1391,0.0501,TIDAK SEHAT,-8.3,MEMBURUK,PLTU Labuan (Banten 2),Pembangkit Listrik,1.52,PT Banten Energy,Energi,38.18,Pelabuhan Ciwandan,Pelabuhan/Logistik,38.5,PLTU Labuan (Banten 2),Pembangkit Listrik,1.52,0.7,1,0.0032,0.7,6.85,RENDAH,1600.0,20.16,"Kualitas air di Pantai Caringin (Labuan) tergolong **TIDAK SEHAT** (Tercemar). Analisis menunjukkan tingginya kekeruhan air (NDTI: 0.3406) akibat limpasan sedimen darat. Disarankan untuk membatasi aktivitas kontak langsung seperti berenang di sekitar perairan pantai ini. Lokasi ini berada dalam radius dampak **TINGGI** dari fasilitas industri PLTU Labuan (Banten 2) (Pembangkit Listrik) yang berjarak hanya **1.52 km**, sehingga potensi kontribusi polutan industri terhadap penurunan kualitas air sangat signifikan."
